date,year,semester,quarter,month,month_name,month_start,month_end,day,day_of_week,day_name,week_of_year,week_of_month
2017-01-01,2017,1,1,1,January,2017-01-01,2017-01-31,1,7,Sunday,52,1
2017-01-02,2017,1,1,1,January,2017-01-01,2017-01-31,2,1,Monday,1,1
2017-01-03,2017,1,1,1,January,2017-01-01,2017-01-31,3,2,Tuesday,1,1
2017-01-04,2017,1,1,1,January,2017-01-01,2017-01-31,4,3,Wednesday,1,1
2017-01-05,2017,1,1,1,January,2017-01-01,2017-01-31,5,4,Thursday,1,1
2017-01-06,2017,1,1,1,January,2017-01-01,2017-01-31,6,5,Friday,1,1
2017-01-07,2017,1,1,1,January,2017-01-01,2017-01-31,7,6,Saturday,1,2
2017-01-08,2017,1,1,1,January,2017-01-01,2017-01-31,8,7,Sunday,1,2
2017-01-09,2017,1,1,1,January,2017-01-01,2017-01-31,9,1,Monday,2,2
2017-01-10,2017,1,1,1,January,2017-01-01,2017-01-31,10,2,Tuesday,2,2
2017-01-11,2017,1,1,1,January,2017-01-01,2017-01-31,11,3,Wednesday,2,2
2017-01-12,2017,1,1,1,January,2017-01-01,2017-01-31,12,4,Thursday,2,2
2017-01-13,2017,1,1,1,January,2017-01-01,2017-01-31,13,5,Friday,2,2
2017-01-14,2017,1,1,1,January,2017-01-01,2017-01-31,14,6,Saturday,2,3
2017-01-15,2017,1,1,1,January,2017-01-01,2017-01-31,15,7,Sunday,2,3
2017-01-16,2017,1,1,1,January,2017-01-01,2017-01-31,16,1,Monday,3,3
2017-01-17,2017,1,1,1,January,2017-01-01,2017-01-31,17,2,Tuesday,3,3
2017-01-18,2017,1,1,1,January,2017-01-01,2017-01-31,18,3,Wednesday,3,3
2017-01-19,2017,1,1,1,January,2017-01-01,2017-01-31,19,4,Thursday,3,3
2017-01-20,2017,1,1,1,January,2017-01-01,2017-01-31,20,5,Friday,3,3
2017-01-21,2017,1,1,1,January,2017-01-01,2017-01-31,21,6,Saturday,3,4
2017-01-22,2017,1,1,1,January,2017-01-01,2017-01-31,22,7,Sunday,3,4
2017-01-23,2017,1,1,1,January,2017-01-01,2017-01-31,23,1,Monday,4,4
2017-01-24,2017,1,1,1,January,2017-01-01,2017-01-31,24,2,Tuesday,4,4
2017-01-25,2017,1,1,1,January,2017-01-01,2017-01-31,25,3,Wednesday,4,4
2017-01-26,2017,1,1,1,January,2017-01-01,2017-01-31,26,4,Thursday,4,4
2017-01-27,2017,1,1,1,January,2017-01-01,2017-01-31,27,5,Friday,4,4
2017-01-28,2017,1,1,1,January,2017-01-01,2017-01-31,28,6,Saturday,4,5
